metabolite,substance_kr,year,age_group_en,age_group_kr,statistic,value,source,source_url,unit
MBzP,모노벤질프탈레이트 (MBzP),2014,adult,성인,geometric_mean,2.82,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2014,adult,성인,p95,19.3,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,adult,성인,geometric_mean,1.99,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,adult,성인,p95,14.6,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,elementary,초등학생,geometric_mean,2.8,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,elementary,초등학생,p95,24.2,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,middle_high_school,중고등학생,geometric_mean,2.78,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,middle_high_school,중고등학생,p95,25.3,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,preschool,영유아,geometric_mean,3.12,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MBzP,모노벤질프탈레이트 (MBzP),2017,preschool,영유아,p95,22.0,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,adult,성인,geometric_mean,0.441,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,adult,성인,p95,1.47,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,elementary,초등학생,geometric_mean,0.533,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,elementary,초등학생,p95,1.45,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,middle_high_school,중고등학생,geometric_mean,0.452,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,middle_high_school,중고등학생,p95,1.02,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,preschool,영유아,geometric_mean,0.491,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCNP,모노(카르복시노닐)프탈레이트(MCNP),2017,preschool,영유아,p95,1.83,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCOP,모노(카르복시옥틸)프탈레이트 (MCOP),2017,adult,성인,geometric_mean,1.07,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCOP,모노(카르복시옥틸)프탈레이트 (MCOP),2017,adult,성인,p95,4.59,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCOP,모노(카르복시옥틸)프탈레이트 (MCOP),2017,elementary,초등학생,geometric_mean,2.24,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCOP,모노(카르복시옥틸)프탈레이트 (MCOP),2017,elementary,초등학생,p95,8.31,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
MCOP,모노(카르복시옥틸)프탈레이트 (MCOP),2017,middle_high_school,중고등학생,geometric_mean,1.71,"국립환경과학원 국민환경보건기초조사(1~3기, 2011/2014/2017)",https://www.data.go.kr/data/3075219/fileData.do,ug/L
